iso_a3,name,population,latitude,longitude
BLZ,Belmopan,15220,17.2520335072,-88.7670729998
CAF,Bangui,831925,4.36664430635,18.5582881253
CMR,Yaounde,1611000,3.86670066214,11.5166507555
ALB,Tirana,895350,41.3275407095,19.8188830146
ARM,Yerevan,1102000,40.1811507355,44.5135513904
AZE,Baku,2122300,40.3952720327,49.8622171619
KHM,Phnom Penh,1466000,11.5500301299,104.91663448
BOL,La Paz,1590000,-16.4979736137,-68.1499851905
BEN,Cotonou,762000,6.40000856417,2.51999059918
BGR,Sofia,1185000,42.6833494253,23.3166540107
BLR,Minsk,1805000,53.8999774364,27.5666271553
BTN,Thimphu,98676,27.4729858592,89.639014037
BWA,Gaborone,208411,-24.6463134574,25.9119477933
AUS,Canberra,327700,-35.2830285454,149.129026244
BFA,Ouagadougou,1149000,12.3703159779,-1.5247237563
BIH,Sarajevo,696731,43.850022399,18.383001667
MMR,Naypyidaw,930000,19.7665570261,96.1186185292
TON,Nukualofa,42620,-21.1385123567,-175.220564478
SOL,Hargeysa,477876,9.56002239882,44.0653100167
SYC,Victoria,33576,-4.61663165397,55.4499897856
STP,São Tomé,88219,0.33340211883,6.73332515323
WSM,Apia,61916,-13.8415450424,-171.738641609
MLT,Valletta,368250,35.8997324819,14.5147106513
MDV,Malé,112927,4.16670818981,73.499947468
ISR,Jerusalem,1029300,31.7784078156,35.2066259346
CPV,Praia,113364,14.9166980173,-23.516688885
BHS,Nassau,227940,25.0833901154,-77.3500437843
CYP,Nicosia,224300,35.1666764517,33.3666348864
NZL,Wellington,393400,-41.29998785369,174.78326585928
VNM,Hanoi,4378000,21.0333272491,105.8500142
TUR,Ankara,3716000,39.9272385855,32.864391641
HUN,Budapest,1679000,47.5000063264,19.0833206774
YEM,Sanaa,2008000,15.3547332957,44.2065933826
ROU,Bucharest,1942000,44.4333718049,26.099946654
SYR,Damascus,2466000,33.5000339956,36.299995889
PRT,Lisbon,2812000,38.7227228779,-9.14486630549
SDN,Khartoum,4754000,15.5880782257,32.5341792386
NOR,Oslo,835000,59.9166902864,10.749979206
POL,Warsaw,1707000,52.2500006298,20.9999995511
PRK,Pyongyang,3300000,39.0194386994,125.754690714
TZA,Dar es Salaam,2930000,-6.80001259474,39.2683418363
IRL,Dublin,1059000,53.333061136,-6.24890568178
LBR,Monrovia,1041000,6.31055665987,-10.8047516291
MYS,Kuala Lumpur,1448000,3.1666658721,101.699983275
CUB,Havana,2174000,23.1319588409,-82.3641821713
CZE,Prague,1162000,50.0833370149,14.4659797757
KWT,Kuwait,2063000,29.36971763,47.9783011462
DOM,Santo Domingo,2154000,18.4700728546,-69.9000850847
GHA,Accra,2121000,5.55003460583,-0.21671574035
LBY,Tripoli,2189000,32.8925000194,13.1800117581
ISR,Tel Aviv-Yafo,3112000,32.0799914744,34.7700117582
FIN,Helsinki,1115000,60.175563374,24.9341263415
DNK,København,1085000,55.6785641904,12.5634857473
CIV,Abidjan,3802000,5.31999696749,-4.04004825989
BRA,Brasília,3716996,-15.7833402315,-47.9160522884
BEL,Brussels,1743000,50.8333170767,4.3333166083
BGD,Dhaka,12797394,23.7230597117,90.4085794667
AGO,Luanda,5172900,-8.83828611363,13.2344270413
DZA,Algiers,3354000,36.763064798,3.05055252952
MMR,Rangoon,4088000,16.7833541046,96.1666776113
USA,San Francisco,3450000,37.7400077505,-122.459977663
USA,Denver,2313000,39.7391880484,-104.984015952
USA,Houston,4459000,29.8199743846,-95.3399792905
USA,Miami,5585000,25.7876106964,-80.2241060808
USA,Atlanta,4506000,33.830013854,-84.3999493833
USA,Chicago,8990000,41.8299906607,-87.7500549741
VEN,Caracas,2985000,10.5009985544,-66.9170371924
UKR,Kiev,2709000,50.433367329,30.5166279691
ARE,Dubai,1379000,25.2299961538,55.2799743234
UZB,Tashkent,2184000,41.311701883,69.2949328195
ESP,Madrid,5567000,40.4000262645,-3.683351686
CHE,Geneva,1240000,46.2100075471,6.14002803409
SWE,Stockholm,1264000,59.3507599543,18.0973347328
THA,Bangkok,6704000,13.7499992055,100.516644652
PER,Lima,8012000,-12.0480126761,-77.0500620948
SEN,Dakar,2604000,14.715831725,-17.4731301284
ZAF,Johannesburg,3435000,-26.17004474,28.0300097236
NLD,Amsterdam,1031000,52.3499686881,4.91664017601
MAR,Casablanca,3181000,33.5999762156,-7.61636743309
KOR,Seoul,9796000,37.5663490998,126.999730997
PHL,Manila,11100000,14.6041589548,120.982217162
MEX,Monterrey,3712000,25.6699951365,-100.329984784
DEU,Berlin,3406000,52.5218186636,13.4015486233
CHN,Ürümqi,2151000,43.8050122264,87.5750056549
CHN,Chengdu,4123000,30.6700000193,104.07001949
JPN,Ōsaka,11294000,34.7500352163,135.460144815
COD,Kinshasa,7843000,-4.32972410189,15.3149718818
IND,New Delhi,317797,28.6000230092,77.1999800201
IND,Bangalore,6787000,12.9699951365,77.5600097238
GRC,Athens,3242000,37.9833262319,23.7333210843
IRQ,Baghdad,5054000,33.3386484975,44.3938687732
ETH,Addis Ababa,3100000,9.03331036268,38.700004434
IRN,Tehran,7873000,35.6719427684,51.4243440336
CAN,Vancouver,2313328,49.2734165841,-123.121644218
CAN,Toronto,5213000,43.6999798778,-79.4200207944
ARG,Buenos Aires,12795000,-34.6025016085,-58.3975313737
AFG,Kabul,3277000,34.5166902863,69.1832600493
AUT,Vienna,2400000,48.2000152782,16.3666389554
AUS,Melbourne,4170000,-37.8200313123,144.975016235
TWN,Taipei,6900273,25.03583333333,121.56833333333
NZL,Auckland,1377200,-36.84805489493,174.76302698708
USA,Los Angeles,12500000,33.9899782502,-118.179980511
USA,"Washington, D.C.",4338000,38.8995493765,-77.0094185808
USA,New York,19040000,40.749979064,-73.9800169288
GBR,London,8567000,51.4999947297,-0.11672184386
TUR,Istanbul,10061000,41.1049961538,29.0100015856
SAU,Riyadh,4465000,24.6408331492,46.7727416573
ZAF,Cape Town,3215000,-33.9200109672,18.4349881578
RUS,Moscow,10452000,55.7521641226,37.6155228259
MEX,Mexico City,19028000,19.4424424428,-99.1309882017
NGA,Lagos,9466000,6.44326165348,3.39153107121
ITA,Rome,3339000,41.8959556265,12.4832584215
CHN,Beijing,11106000,39.9288922313,116.388285684
KEN,Nairobi,3010000,-1.28334674185,36.8166568591
IDN,Jakarta,9125000,-6.17441770541,106.829437621
COL,Bogota,7772000,4.59642356253,-74.0833439552
EGY,Cairo,11893000,30.0499603465,31.2499682197
CHN,Shanghai,14987000,31.2164524526,121.436504678
JPN,Tokyo,35676000,35.6850169058,139.751407429
IND,Mumbai,18978000,19.0169903757,72.8569892974
FRA,Paris,9904000,48.8666929312,2.33333532574
CHL,Santiago,5720000,-33.4500138155,-70.6670408546
IND,Kolkata,14787000,22.4949692983,88.3246756581
BRA,Rio de Janeiro,11748000,-22.9250231742,-43.2250207942
BRA,São Paulo,18845000,-23.558679587,-46.6250199804
AUS,Sydney,4630000,-33.9200109672,151.185179809
SGP,Singapore,5183700,1.29303346649,103.855820678
HKG,Hong Kong,7206000,22.304980895,114.185009317
